3535,3392
3534,3392
3533,3392
3534,3393
3535,3393
3536,3394
3535,3395
3534,3395
3533,3394
3534,3393
3535,3394
3535,3394
3535,3395
3535,3396
3536,3397
3535,3397
3534,3397
3533,3396
3533,3395
3534,3395
3533,3394
3532,3393
3531,3393
3530,3394
3529,3395
3528,3396
3529,3395
3530,3395
3530,3395
3531,3396
3530,3396
3530,3395
3530,3395
3530,3394
3529,3393
3528,3394
3527,3395
3526,3396
3526,3397
3525,3397
3524,3398
3525,3398
3526,3399
3527,3399
3527,3400
-1,-1
2886,2048
-1,-1
909,1382
908,1382
908,1382
908,1381
908,1380
908,1381
909,1382
909,1383
909,1384
908,1384
908,1385
909,1386
909,1387
910,1388
911,1389
911,1388
912,1387
-1,-1
2489,3824
2488,3823
-1,-1
1115,3429
1116,3428
1116,3427
1117,3428
1116,3427
1115,3427
1115,3427
1116,3428
1116,3429
1117,3428
1116,3428
1116,3428
1117,3429
1117,3430
-1,-1
482,237
481,238
480,237
479,236
478,235
478,235
479,236
479,235
479,234
479,233
-1,-1
201,1451
202,1450
201,1449
200,1450
201,1450
200,1449
199,1450
200,1451
201,1450
202,1451
202,1452
203,1453
202,1454
201,1453
201,1453
200,1452
199,1452
198,1451
199,1450
199,1450
198,1450
-1,-1
124,2223
125,2224
126,2224
125,2225
124,2224
125,2223
124,2222
124,2222
124,2222
123,2221
124,2222
125,2222
-1,-1
2929,2173
-1,-1
3227,1167
3226,1166
3226,1167
3225,1168
3224,1167
3224,1166
3225,1165
3226,1166
3225,1167
3226,1168
3227,1167
3227,1166
3227,1166
3226,1166
3227,1166
3228,1165
3229,1165
-1,-1
1813,2720
1813,2719
-1,-1
619,3200
620,3199
619,3198
-1,-1
746,3251
746,3250
747,3251
-1,-1
718,764
719,765
720,764
719,763
719,762
718,761
719,762
720,762
720,762
719,762
718,763
718,764
719,764
719,765
719,766
719,765
719,765
719,765
719,766
720,767
720,768
-1,-1
1799,205
1799,205
1798,206
-1,-1
905,1263
905,1264
906,1264
905,1263
905,1262
905,1261
-1,-1
3956,1045
3957,1044
3956,1043
-1,-1
3234,4073
3234,4074
3234,4075
3234,4076
3235,4075
3236,4075
3235,4075
3236,4075
-1,-1
864,3355
865,3356
-1,-1
3771,2095
3771,2096
3770,2097
3770,2097
3771,2098
3770,2097
3769,2096
3768,2096
3769,2095
3770,2096
3770,2095
3771,2095
3770,2094
3769,2093
3768,2093
3768,2092
3767,2093
3768,2092
3767,2091
3768,2092
3768,2092
3769,2091
-1,-1
810,3245
809,3244
809,3244
810,3244
809,3244
810,3243
811,3244
810,3243
810,3243
810,3243
810,3243
-1,-1
3332,3916
3333,3917
3332,3918
3331,3917
3330,3916
-1,-1
1,2570
2,2570
1,2569
1,2570
2,2570
2,2569
3,2568
2,2569
3,2569
3,2570
-1,-1
1394,1018
1395,1019
1396,1019
1395,1020
1396,1020
1397,1019
1397,1020
1396,1021
1396,1021
1397,1022
1398,1023
-1,-1
2300,2280
2301,2280
2301,2279
2300,2278
2301,2278
2300,2277
2301,2277
2300,2276
2300,2277
2299,2276
2300,2275
2300,2274
2299,2273
2300,2272
2301,2273
2302,2273
2301,2272
2301,2272
2300,2271
2299,2270
2300,2271
2301,2272
-1,-1
824,2120
825,2121
826,2120
827,2119
-1,-1
3407,2435
3406,2434
3405,2435
3406,2436
3405,2437
3406,2438
3405,2438
3404,2438
3403,2438
3403,2438
3402,2439
3401,2440
3400,2440
3401,2441
3402,2440
3402,2441
3403,2440
3403,2441
3402,2440
3401,2441
3401,2441
3402,2440
3401,2440
3402,2440
-1,-1
76,1789
-1,-1
419,260
420,261
419,262
418,261
419,261
420,261
421,261
420,262
419,263
419,264
418,265
418,265
417,266
-1,-1
1567,2272
1566,2271
-1,-1
1873,1297
1872,1297
1873,1298
-1,-1
1122,653
1121,652
1121,651
1121,651
1122,650
1122,650
1123,649
1124,650
1124,651
1123,651
1124,650
-1,-1
747,2191
747,2191
747,2192
747,2193
-1,-1
3687,2996
3687,2996
3687,2996
3687,2996
3688,2995
-1,-1
2402,521
2401,521
2400,520
2401,519
2400,518
2401,517
2401,518
2400,518
-1,-1
3834,2507
3835,2508
3835,2507
3836,2506
3835,2506
3835,2505
3835,2506
3834,2505
3834,2506
3835,2507
3834,2508
3833,2508
3833,2509
-1,-1
3749,1832
3749,1831
3750,1830
3750,1831
3750,1832
3750,1831
3749,1830
3750,1831
-1,-1
516,151
516,151
515,150
515,151
514,150
-1,-1
1649,2186
1650,2186
1651,2187
1650,2187
1651,2188
1651,2189
1651,2190
1652,2189
1652,2188
1651,2188
1651,2187
1651,2188
1652,2189
